Time;Total
1592956800;293557
1593561600;1452363
1596240000;1151280
1599004800;1306527
1601510400;1399035
1604188800;1412498
1606780800;1544467
1609459200;1564737
1612137600;1026256
1614556800;0
1614556800;0
1617235200;0
1617235200;792409
1619827200;1605975
1622505600;1568461
1625097600;1610815
1627776000;1586344
1630454400;1595928
1633046400;1660891
1635724800;1616583
1638316800;1681939
1640995200;1662057
1643673600;1494547
1646092800;1660194
1648771200;1541712
1651363200;1671114
1654041600;1624873
1656633600;1622726
1659312000;1700361
1661990400;611108
